stamp_sec,stamp_nanosec,scan_index,point_index,angle_rad,range_m,x_forward_m,y_left_m,x_world_m,y_world_m
1774805556,43035842,0,98,1.7104226537048817,0.515500009059906,0.0717437280421305,0.5104831993585881,0.263710954063377,0.4017694529415709
1774805556,43035842,0,100,1.745329238474369,0.5569999814033508,0.0967220243149952,0.5485379014213536,0.28989988208359024,0.4390013704711979
1774805556,43035842,0,103,1.7976891156286001,0.590749979019165,0.13288982261829868,0.5756090971793453,0.3269193820218045,0.4648956922078355
1774805556,43035842,0,105,1.8325957003980875,0.565750002861023,0.1464268677495368,0.5464725410652461,0.33951262111091446,0.4353389531739072
1774805556,43035842,0,108,1.8849555775523186,0.5910000205039978,0.18262904180451578,0.562074423297565,0.3761977142801199,0.44976878597490866
1774805556,43035842,0,110,1.919862162321806,0.6119999885559082,0.20931631524845795,0.5750918762799905,0.4032897308889224,0.4619214516121165
1774805556,43035842,0,113,1.972222039476037,0.5740000009536743,0.22427966005327468,0.5283697901860076,0.4167431170867502,0.41474241583844385
1774805556,43035842,0,115,2.0071286242455244,0.5862500071525574,0.2477599507073013,0.531322950484815,0.44030621887195254,0.4169391040749081
1774805556,43035842,0,118,2.0594885013997555,0.5977500081062317,0.2806266220409142,0.5277819352657932,0.4730420457579143,0.4123431807263941
1774805556,43035842,0,120,2.094395086169243,0.612500011920929,0.3062499973546217,0.5304405751103815,0.4987376546795757,0.4141765956918021
1774805556,43035842,0,122,2.1293016709387302,0.6272500157356262,0.3323918580549137,0.5319381871412744,0.5249141512128425,0.4148329126216667
1774805556,43035842,0,125,2.1816615480929613,0.6457499861717224,0.3703869669025905,0.5289674275316761,0.5627940991412506,0.410642059015787
1774805556,43035842,0,127,2.2165681328624487,0.6652500033378601,0.40035743703820015,0.5312922825989725,0.5928238234090846,0.41200209270333277
1774805556,43035842,0,130,2.2689280100166798,0.6875,0.44191647240302473,0.5266555624113988,0.6342122907827,0.4060315514367663
1774805556,43035842,0,132,2.303834594786167,0.7147499918937683,0.4782610859915507,0.5311627665210772,0.6706830304816347,0.40936786251310797
1774805556,43035842,0,134,2.3387411795556545,0.7417500019073486,0.5152628379463587,0.5335703076081129,0.7077430598098956,0.4105844676254392
1774805556,43035842,0,137,2.3911010567098856,0.7730000019073486,0.5653364029818672,0.5271847441004764,0.7575854253576053,0.40259222555679397
1774805556,43035842,0,139,2.426007641479373,0.824999988079071,0.6226353845153988,0.5412487027973637,0.8153069707911783,0.41480661918757755
1774805556,43035842,0,141,2.4609142262488604,0.8977500200271606,0.6976827916918722,0.56497240696852,0.8910783485827267,0.43610511141314023
1774805556,43035842,0,144,2.5132741034030914,0.8865000009536743,0.7171935561403198,0.5210716406806903,0.9091675152289633,0.3915997267943536
1774805556,43035842,0,150,2.6179938577115536,2.3589999675750732,2.04295387552649,1.1795000252185204,2.2554123751835804,1.007061455149408
1774805556,43035842,0,153,2.6703537348657846,2.323499917984009,2.070253564054812,1.0548469317346685,2.2786900662737,0.8815950620142332
1774805556,43035842,0,155,2.705260319635272,2.2885000705718994,2.074085414325449,0.9671619652829714,2.2797006625294496,0.7938322275491835
